ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04064	NF-kappa B signaling pathway	94	0.616272839590271	2.19874522787453	1.2175343529105e-08	2.92208244698521e-07	2.05912827404513e-07	1427	tags=26%, list=8%, signal=24%	TNFAIP3/ICAM1/RELB/TNFSF14/CXCL1/NFKBIA/CXCL12/NFKB2/CXCL3/CYLD/EDA2R/VCAM1/CXCL2/TRAF3/BIRC3/PIDD1/CFLAR/EDA/TAB3/TNFSF13B/TRAF1/TICAM1/PLAU/NFKB1
hsa04814	Motor proteins	167	-0.506985706376857	-1.96544231976526	3.64404766369291e-08	8.19910724330905e-07	5.77773346677626e-07	2477	tags=28%, list=13%, signal=25%	MYH15/ACTG1/MYL9/KIF26A/ACTR10/TPM1/TUBA4A/DCTN6/TUBB2B/KIFC3/CAPZA2/MYO1F/KIF5B/MYL12B/MYH10/DYNC1I2/KIF5C/ACTB/MYL6/TUBA1A/DYNLL1/DYNC1LI1/MYL12A/TPM3/TUBB6/TUBB3/KIF24/TUBG1/TUBB/TUBA1C/TUBB2A/TUBB4B/TUBA1B/KIF4A/KIF22/KIF20B/KIFC1/CENPE/KIF14/KIF20A/KIF18B/KIF15/KIF11/KIF18A/KIF2C/KIF23/ACTC1
hsa04518	Integrin signaling	144	0.53619358838547	2.03022722136957	4.62145210487734e-08	9.7866044573873e-07	6.89640840418228e-07	2568	tags=34%, list=14%, signal=30%	C3/ICAM1/PDGFRA/KDR/ITGA11/FN1/ITGB8/CCND2/ITGA10/COL6A3/ITGB3/VCAM1/ITGB4/COL6A1/COL1A1/TNXB/LAMA2/FREM1/COL6A2/ITGA8/LAMA5/COL1A2/LAMB1/PDGFRB/LAMC2/ARHGEF6/LAMA4/LIMS2/VEGFB/ITGA5/FBN1/VEGFC/ITGAV/PIK3R1/PIK3CD/PGF/THBS3/LAMC1/EGFR/PDGFD/VEGFA/PIK3R2/COL4A2/FRAS1/NCK2/FERMT1/LAMB3/LAMB2/GSK3B
hsa03440	Homologous recombination	41	-0.734557976930022	-2.21767904224173	5.75042394055512e-08	1.15008478811102e-06	8.10439865306306e-07	2199	tags=49%, list=12%, signal=43%	POLD3/SEM1/RPA2/RPA1/RBBP8/POLD1/BARD1/SSBP1/RAD51C/RPA3/RAD54B/BRCA2/XRCC2/XRCC3/BRCA1/BRIP1/RAD54L/BLM/RAD51/EME1
hsa03420	Nucleotide excision repair	60	-0.666131453438767	-2.19411139380098	6.62278458938441e-08	1.25484339588336e-06	8.84260989496754e-07	2970	tags=55%, list=16%, signal=46%	RAD23B/GTF2H3/RBX1/GTF2H2/ERCC8/ERCC2/ERCC6/POLD3/CCNH/POLR2J/POLR2C/POLR2I/RPA2/POLR2F/POLE4/GTF2H4/RPA1/POLR2K/POLE/MNAT1/POLR2D/POLD1/LIG1/POLE3/RPA3/RFC5/CUL4B/CDK7/PCNA/RFC4/POLE2/RFC2/RFC3
hsa04061	Viral protein interaction with cytokine and cytokine receptor	62	0.66108728928176	2.19497786173502	9.46381947381467e-08	1.70348750528664e-06	1.20041078588912e-06	1388	tags=27%, list=7%, signal=25%	IL6/TNFSF14/CXCL6/CXCL1/CXCL12/CXCL3/CCL8/ACKR3/CX3CL1/CSF1/CXCL2/CXCL5/TNFRSF1B/TNFSF10/ACKR4/TNFRSF14/TNFRSF10C
hsa03460	Fanconi anemia pathway	51	-0.695009450041831	-2.20668651886981	1.11466433712506e-07	1.91085314935725e-06	1.34653686840672e-06	1867	tags=45%, list=10%, signal=41%	HES1/RPA2/FANCL/FANCC/FANCM/RPA1/USP1/CENPX/RAD51C/RPA3/RMI2/BRCA2/UBE2T/FANCG/BRCA1/FANCB/BRIP1/FANCA/FANCI/FANCD2/BLM/RAD51/EME1
hsa05022	Pathways of neurodegeneration - multiple diseases	425	-0.39154865286299	-1.68312710158155	2.00520849433113e-07	3.28125026345095e-06	2.31222606284116e-06	3808	tags=40%, list=21%, signal=33%	SDHC/NDUFC2/SDHA/VDAC2/DNAL1/NDUFA11/PLCB2/KLC2/BECN1/NDUFV3/VDAC3/SDHD/PRNP/FZD6/RAB1A/ACTR1A/RAB5A/CHMP2B/NDUFS2/PPP3R1/PLCB1/UQCRHL/ATP5PO/DERL1/PPID/NDUFV1/RAC1/FZD9/COX6A1/NDUFB4/COX7A2L/PSMA6/CYC1/NDUFA8/PLCB3/NDUFA7/TOMM40L/PSMD3/PSMA1/COX7C/GPX7/TARDBP/ATP5PB/PTGS2/UQCRC1/UQCRC2/NDUFC1/CALM3/NDUFS1/CAMK2A/SIGMAR1/ADRM1/PSMB2/RAB8A/SLC25A4/NDUFA6/KRAS/PSMB7/PSMC5/HSD17B10/FZD5/COX4I1/ATP5PF/NDUFB7/MAP2K3/PSMD11/NDUFA2/NDUFB8/PSMD4/SOD1/ATP2A2/ACTR10/MAP2K1/CDK5/NDUFS3/CASP3/TUBA4A/NDUFA9/PSMB5/PSMC4/SEM1/UQCRFS1/COX7B/NDUFA5/UQCR10/COX8A/DCTN6/TUBB2B/ATP5F1B/CALM2/BAK1/PSMD9/NDUFB10/CALM1/COX5B/ITPR1/KIF5B/UQCRH/ATP5MC1/PSMB6/NDUFB1/ATP5F1C/ATG101/VCP/NEFM/NDUFA1/NDUFB2/PSMD8/PSMD1/NDUFB5/PSMD2/NDUFV2/KIF5C/PPIF/UBE2L3/SDHB/HRAS/PSMC1/ATP5MC3/PSMB3/PARK7/WNT8B/PSMD7/PSMB1/ATP5PD/TRAP1/SLC25A5/PSMA5/VDAC1/MAP3K5/NDUFS5/NDUFS6/PSMD13/NDUFA12/NDUFB9/COX6C/TUBA1A/UQCRQ/PSMA2/PSMA3/TOMM40/PSMA4/PSMC6/NRAS/NDUFAB1/PSMC3/PSMD6/PSMC2/PSMA7/HSPA5/FUS/COX7A2/NDUFB3/PSMD12/EIF2S1/FZD4/NDUFB6/CYCS/PSMD14/TUBB6/NEFH/GRIA2/TUBB3/TUBB/DKK1/TUBA1C/TUBB2A/TUBB4B/TUBA1B/BDNF
hsa04714	Thermogenesis	204	-0.469209347285967	-1.85003494909636	2.33236649500705e-07	3.65066060088061e-06	2.57254153453867e-06	4268	tags=52%, list=23%, signal=41%	ATP5MF/NDUFB11/ATP5F1A/SMARCB1/NDUFA13/SMARCE1/COA7/COX6B1/COA1/SDHC/NDUFC2/SDHA/NDUFA11/SMARCC1/MGLL/NDUFV3/SDHD/ACSL4/NDUFS2/UQCRHL/ATP5PO/NDUFV1/COX6A1/NDUFB4/COX7A2L/CYC1/NDUFA8/NDUFA7/NDUFAF3/PRKAG1/COX7C/CREB3L4/ATP5PB/UQCRC1/GRB2/UQCRC2/NDUFC1/NDUFS1/COX20/CPT2/RHEB/SMARCA4/KDM1A/NDUFA6/KRAS/ADCY1/PRKAG2/COX4I1/ATP5ME/COA3/ACTG1/ATP5PF/NDUFAF4/NDUFB7/MAP2K3/NDUFA2/NDUFB8/NDUFS3/SLC25A20/NDUFA9/PRKAA1/UQCRFS1/COX7B/NDUFA5/UQCR10/COX8A/ATP5F1B/NDUFB10/COX5B/UQCRH/ATP5MC1/ATP5MG/NDUFB1/ATP5F1C/NDUFA1/NDUFB2/COA6/NDUFAF1/NDUFB5/NDUFV2/COX14/SDHB/ACTB/HRAS/ACSL3/ATP5MC3/ATP5PD/NDUFAF5/MAP3K5/NDUFS5/NDUFS6/NDUFA12/COA4/NDUFB9/COX6C/UQCRQ/NRAS/NDUFAB1/NDUFAF2/COX7A2/NDUFB3/NDUFB6/COX17/ACTL6A/RPS6KA1/DPF1/RPS6KA6
hsa04936	Alcoholic liver disease	117	0.553977581421713	2.04395403003508	3.22157258166645e-07	4.83235887249967e-06	3.40525873763866e-06	2825	tags=35%, list=15%, signal=30%	C3/IL6/CXCL1/NFKBIA/ADH1B/CXCL3/PPARGC1A/IL17RC/SCD/C2/CXCL2/ACACB/TRAF3/FASN/LPIN1/FOXO3/TCF7L1/TAB3/SREBF1/ALDH3A2/TICAM1/ALDH2/NFKB1/C5AR1/PRKAB2/MAP2K6/ADH1C/TCF7L2/ACACA/PPARA/IL17RA/ACOX3/MAPK10/LPIN3/MAPK13/ADH4/TIRAP/GSK3B/ADH1A/TAB2/ADH7
