gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SOD2	16816.1690752489	2.85786672950459	0.090964550985327	31.4045290607683	1.75488347671931e-216	2.25993894131913e-212
C3	4286.8355601804	1.95864254813461	0.0843513636570204	23.2051055364659	4.04366867546752e-119	2.60371826013353e-115
SLC39A8	583.344889252265	2.05390838739223	0.107249157548425	19.0241809134453	1.07554908584164e-80	4.61697370915622e-77
CFB	456.985024267843	2.23278668170666	0.128272377117458	17.2286202339969	1.61968901278406e-66	5.21458877665827e-63
TNFAIP3	447.394190392092	1.76226374069668	0.123010873401193	14.2503284346188	4.46177896900826e-46	1.14917579125777e-42
GPRC5A	356.817416823488	-1.52721437297185	0.136141226912078	-11.158165207654	6.5325855022882e-29	8.41266360984674e-26
TNFAIP6	180.275733569217	1.60820479727499	0.143140139096193	11.1067527020909	1.16312679642606e-28	1.36170426221589e-25
RIPOR3	663.151256865382	1.567306981129	0.141426719404945	11.0617530212996	1.92301828423902e-28	1.90497149726385e-25
ICAM1	350.817529509135	1.52869099582677	0.14170217567122	10.7439752481574	6.3260495982563e-27	5.09167917039654e-24
