gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SOD2	16816.1690752489	2.85786672950459	0.090964550985327	31.4045290607683	1.75488347671931e-216	2.25993894131913e-212
C3	4286.8355601804	1.95864254813461	0.0843513636570204	23.2051055364659	4.04366867546752e-119	2.60371826013353e-115
SLC39A8	583.344889252265	2.05390838739223	0.107249157548425	19.0241809134453	1.07554908584164e-80	4.61697370915622e-77
CFB	456.985024267843	2.23278668170666	0.128272377117458	17.2286202339969	1.61968901278406e-66	5.21458877665827e-63
TNFAIP3	447.394190392092	1.76226374069668	0.123010873401193	14.2503284346188	4.46177896900826e-46	1.14917579125777e-42
SLC43A2	655.502246838655	1.36317688186275	0.101104300380562	13.4565104180827	2.81919071403007e-41	6.05092300254654e-38
CXCL1	3068.9116623795	0.992097819415014	0.082747192758114	11.9874781839746	4.13296735244506e-33	7.60347908068392e-30
IL11	300.758901136553	-1.48428251339214	0.128671202769946	-11.4600887305484	2.09300263906764e-30	3.36921099823913e-27
CA12	1552.71239005632	1.06859978481751	0.0932975387005423	11.4489122889597	2.38114543941039e-30	3.40715455208078e-27
GPRC5A	356.817416823488	-1.52721437297185	0.136141226912078	-11.158165207654	6.5325855022882e-29	8.41266360984674e-26
TNFAIP6	180.275733569217	1.60820479727499	0.143140139096193	11.1067527020909	1.16312679642606e-28	1.36170426221589e-25
CXCL6	5692.48433609307	1.06324022597746	0.0959903630525363	11.0755435990239	1.64876506427637e-28	1.76939970814593e-25
RIPOR3	663.151256865382	1.567306981129	0.141426719404945	11.0617530212996	1.92301828423902e-28	1.90497149726385e-25
TOP2A	3218.37709494858	-0.933372160534312	0.0856781159788151	-10.8918251411832	1.26087687375636e-27	1.15982659858818e-24
SVIL	7465.42684539522	0.876643068265966	0.0806251484667022	10.8725293247826	1.55820155558708e-27	1.33776797552336e-24
ICAM1	350.817529509135	1.52869099582677	0.14170217567122	10.7439752481574	6.3260495982563e-27	5.09167917039654e-24
CEP55	680.055640432082	-1.05161380472619	0.0982703934908695	-10.6868227755876	1.1732140194848e-26	8.88744126054426e-24
TNFAIP2	303.111759554524	1.42111412353727	0.135650709882614	10.4314924403218	1.78069132713445e-25	1.27398571726875e-22
PTGFR	3140.86006717594	1.11010449008743	0.106455069183374	10.4259874408434	1.88689092660657e-25	1.27891480804418e-22
ACAN	306.447440561278	-1.37439059008911	0.138925345360005	-9.84425357430683	7.25759362329387e-23	4.67316453403892e-20
ANLN	1587.57292650153	-0.885921846377382	0.0903182626608178	-9.80522976984139	1.0690342656082e-22	6.55572536785829e-20
PPL	1206.78155443769	0.854188108337761	0.0878883793422012	9.71571711071403	2.58423484823091e-22	1.51271710797808e-19
CDK1	430.627459097913	-1.04536506209593	0.108047917321184	-9.65410798832758	4.72251204563156e-22	2.64419609233232e-19
HMMR	530.320067893569	-1.05723647175703	0.109958961500063	-9.59864388790329	8.10031312212009e-22	4.34649301611094e-19
RRM2	1580.23107277648	-0.964298690902957	0.101236534757655	-9.52127101018894	1.71073718640483e-21	8.81234939460856e-19
BUB1B	459.728716921529	-0.977516420033824	0.104498304547974	-9.3377023608381	9.84472176830902e-21	4.87616642047244e-18
TPX2	1348.82347772515	-0.911458498455012	0.0992987904034924	-9.17495311393535	4.51771019092102e-20	2.15478043846966e-17
RELB	124.077442246859	1.37960287481493	0.150694663715972	9.04795042164883	1.45676887377984e-19	6.70009627019171e-17
LOXL1	2827.6743729872	0.760484157470708	0.0843369015402995	9.01635256553424	1.94455847808199e-19	8.6351807174965e-17
DLGAP5	695.512148751538	-0.937850631738312	0.104148538596158	-8.99602919384565	2.34029086018586e-19	1.00460885658245e-16
KIF23	660.045446350377	-0.937766710966507	0.104376655721116	-8.9749079543753	2.83588806136794e-19	1.17808278884827e-16
ALDH1A1	1069.75880869303	-0.831176407205493	0.0936425785478511	-8.87158965458894	7.21090606179195e-19	2.9019390082424e-16
CCNA2	1315.97298751279	-0.796967379825921	0.0929876695961436	-8.56759419878476	1.0566941335824e-17	4.12366880371943e-15
HMGB2	1276.22162040888	-0.771145161313199	0.0904210433080981	-8.52530781994746	1.52403977669942e-17	5.77252477774563e-15
