gene_id	MW1_cornea_mock_1	MW2_cornea_mock_2	MW3_cornea_mock_3	MW4_cornea_CoV2_1	MW5_cornea_CoV2_2	MW6_cornea_CoV2_3
A1BG	90.0579141981568	114.62886586672	83.8211904156953	80.8077987626788	68.3907776249084	80.2798058339
A1BG-AS1	288.977043361118	248.508380962966	264.134216309923	243.472848220019	247.792672554016	268.714350082915
A2M	252.360089236593	238.883056348203	256.336896271254	157.417789797426	174.446041478027	199.584517281501
A2M-AS1	7.91717927016763	7.8752655938968	8.77198504350299	11.5439712518113	15.858731043457	8.91997842598888
A2MP1	0.989647408770953	0	0	0	0	0
A3GALT2	1.97929481754191	0.875029510432978	2.923995014501	2.09890386396568	1.98234138043213	1.11499730324861
A4GALT	465.134282122348	434.014637174757	356.727391769122	556.209523950906	496.576515798248	648.928430490691
AAAS	877.817251579836	797.151884004443	819.693269065113	735.665804319972	687.872459009949	835.132980133209
AACS	861.9828930395	741.149995336732	727.100093605915	873.144007409724	814.742307357605	909.837799450866
AADAC	0	0	0.974665004833666	0	0	0
AADACL4	0.989647408770953	0	0	0	0	0
AADACP1	0.989647408770953	0	0.974665004833666	2.09890386396568	1.98234138043213	1.11499730324861
AADAT	78.1821452929053	84.8778625119988	115.985135575206	93.4012219464729	100.108239711823	99.2347599891263
AAGAB	1083.66391260419	1111.28747824988	1001.95562496901	990.682623791802	909.894693618347	1016.87754056273
AAK1	1265.75903581805	1304.66900005557	1461.02284224567	1401.01832919709	1837.63045966058	1189.70212256627
AAMDC	192.981244710336	185.506256211791	123.782455613876	147.972722409581	127.861019037872	201.814511887998
AAMP	1659.63870450889	1428.04816102662	1239.77388614842	1431.4524352246	1163.63439031366	1680.30093599566
AANAT	1.97929481754191	0	2.923995014501	2.09890386396568	1.98234138043213	1.11499730324861
AAR2	631.395046795868	592.394978563126	456.143222262156	521.577610195472	475.761931303711	608.788527573741
AARD	72.2442608402796	84.0028330015659	77.9732003866933	78.7088948987131	83.2583379781494	95.8897680793805
AARS	4275.27680589052	4053.13669232555	3743.68828356611	3965.87885096316	3904.22134876108	4236.98975234472
AARS2	481.958288071454	448.890138852118	538.989747673017	418.731320861154	450.982664048309	394.709045350008
AARSD1	0	0.875029510432978	0	0	0	1.11499730324861
AASDH	392.890021282068	429.639489622592	462.965877295991	426.077484385034	504.505881319977	375.754091194782
AASDHPPT	847.138181907936	840.028330015659	989.284979906171	817.523055014633	796.901234933716	786.07309879027
AASS	922.351384974529	970.407727070172	1057.51153024453	1122.91356722164	1229.05165586792	1039.1774866277
AATBC	0	1.75005902086596	0	0	0	3.34499190974583
AATF	1230.13172910229	1097.28700608295	1036.06890013819	1051.55083584681	862.318500487976	1061.47743269268
AATK	5.93788445262572	2.62508853129893	0	3.14835579594852	2.97351207064819	0
ABALON	3.95858963508381	6.12520657303084	6.82265503383566	0	6.93819483151245	3.34499190974583
ABAT	543.316427415253	509.267175071993	504.876472503839	529.973225651335	487.655979586304	473.873853880659
ABCA1	1695.26601122464	2035.31864126711	2122.82038052772	2046.43126736654	2613.71711009976	1903.30039664538
ABCA10	50.4720178473186	68.2523018137723	67.2518853335229	101.796837402336	97.1347276411743	61.3248516786736
