gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SOD2	6812.12695464701	2.32816483644085	0.1021620532506	22.7795611563933	7.31194625870967e-115	1.09584138579282e-110
C3	2216.1429567601	1.48874238232584	0.0922143169933979	16.1321983962515	1.5152918447287e-58	1.13548394384745e-54
ACTC1	1405.99814035583	-1.88527600916316	0.122223466279067	-15.395466187903	1.75554701354887e-53	8.77012769735229e-50
CXCL6	1090.20959589338	2.09250339209884	0.138636097226993	15.1194053267504	1.20626999656384e-51	4.51959210962558e-48
ACAN	811.529605468204	-1.72358935600206	0.119586052341471	-14.3550261622076	9.90881275798644e-47	2.97006753607885e-43
MYH14	320.837213447265	-1.69794468883124	0.11989341643744	-13.9744205623796	2.2332376131321e-44	5.57825535133514e-41
CXCL1	349.815214413382	1.98230166871067	0.141810600719213	13.8756828048602	8.89420659709343e-44	1.9042496324377e-40
SLC34A2	513.470663340695	-1.79946956722842	0.130447557640386	-13.7058161638692	9.37076416493774e-43	1.75549553174902e-39
CEACAM5	337.871393704413	-1.72093057683584	0.125751859972948	-13.5237422485846	1.13264262723539e-41	1.88610167270854e-38
CEACAM6	446.098895150202	-1.67367129019695	0.126854244507805	-13.0994210150148	3.31778919784398e-39	4.97237067080878e-36
TNFAIP3	399.124544339359	1.415784751579	0.108137429843605	13.030100834357	8.24985580060733e-39	1.1240053534882e-35
CCL2	1990.54918058018	1.39034098807674	0.108166526371759	12.8468977236512	8.95291676043771e-38	1.118144695739e-34
ALDH1A3	433.060082698864	-1.46575178342834	0.117361484880409	-12.4111286071475	2.27424212744791e-35	2.62185128954321e-32
TACSTD2	410.246162503476	-1.64816337285659	0.132857806882593	-12.3252592981145	6.62301015934752e-35	7.08993237558152e-32
SLC6A14	317.566076238678	-1.65448179554638	0.135478646249466	-12.0989273527527	1.07000138620827e-33	1.06907405167356e-30
FER1L6	337.723282275851	-1.60680785120464	0.132304817572202	-12.0417633772954	2.14324683815623e-33	1.94717150254151e-30
LCN2	285.357286107553	-1.49018609250556	0.122480165480051	-12.0392815310136	2.20870858365288e-33	1.94717150254151e-30
KRT13	597.360423019214	-1.35149373926551	0.113779239190829	-11.8364153762231	2.53038557381354e-32	2.10682714415242e-29
PSCA	944.212375654536	-1.53273773735998	0.129704814287192	-11.8030300926931	3.76505311399299e-32	2.96983426417963e-29
C1orf116	142.5779826255	-1.60386511613715	0.139392163533268	-11.2051660274973	3.84631929904541e-29	2.88223936673968e-26
SLPI	421.126205190535	-1.44192264483599	0.128430945451539	-11.171764522649	5.60560897860273e-29	4.00053627439615e-26
CXCL8	176.742207455243	1.68317310428074	0.154352358500803	10.9594625385606	5.9853768240043e-28	4.07740193006148e-25
EHF	280.694121683362	-1.41316512277044	0.130961685156844	-10.7034843898501	9.80215079483742e-27	6.38716669400993e-24
ELF3	174.524924383033	-1.45261617918967	0.136107396828411	-10.5076002285147	7.96956766111566e-26	4.97666293904751e-23
DIO2	326.125501948303	-1.26769950472624	0.120260140959713	-10.4757100147671	1.11696254049771e-25	6.69596703777567e-23
TRIM29	274.570302694256	-1.27847218630001	0.121719975423323	-10.4244082092047	1.91849894202829e-25	1.10586706323761e-22
PTX3	3450.08532933656	1.04374129236052	0.100440624069512	10.390323736341	2.74420067984181e-25	1.52323465143664e-22
AQP5	401.082585686496	-1.31805111412338	0.126698533372806	-10.3585790670409	3.82603445273179e-25	2.04788494082469e-22
EFHD1	1280.53765545908	-0.90440114917899	0.0875697063075713	-10.3199901389523	5.7229035150944e-25	2.95755706830068e-22
KRT18	917.232781295911	-1.14227729843962	0.111129695091833	-10.2641078537845	1.02261808309836e-24	5.10865907046506e-22
CDC25B	1523.97630122607	0.892519567296574	0.0884588771379133	10.0863000197957	6.35187314026773e-24	3.07082331461911e-21
ADGRF1	106.130873656991	-1.55134856141974	0.151138059226055	-9.98022816509225	1.86038487248622e-23	8.7129962762347e-21
CA12	748.232955019767	0.938295578964533	0.0942780376078479	9.94392755215278	2.68045569848995e-23	1.21733301676572e-20
TMPRSS4	298.273327977237	-1.36447729214193	0.137529680323774	-9.87068502898153	5.5782340406915e-23	2.4588527519954e-20
S100A9	1094.40815045458	-1.2616863831005	0.12958735195013	-9.73208777703024	2.20029846488593e-22	9.42167802664155e-20
INMT	266.377819398132	-1.26214866826279	0.130538997436224	-9.60700547469566	7.46895472259645e-22	3.10936734520981e-19
BCAS1	101.15254593954	-1.47532487102329	0.150131081106834	-9.56983637786897	1.07074995583055e-21	4.33711610487366e-19
SCEL	128.984184324504	-1.41762684671762	0.145604338431241	-9.55933248178167	1.18518645844437e-21	4.67431301386995e-19
OXTR	2856.41414590033	-0.785242067200722	0.0832591709159613	-9.42897065838997	4.14132981183986e-21	1.59143871512933e-18
MACC1	97.2229823350207	-1.44240642501323	0.149367574454703	-9.39211771705766	5.88058055640823e-21	2.20330651997225e-18
PRSS8	77.5920131195991	-1.48774896874241	0.152503588010601	-9.37766184380151	6.74518866896323e-21	2.46561323370127e-18
CXCL5	106.955065338668	1.40284043721041	0.148465832347561	9.30242276771764	1.37281199899737e-20	4.89865081642227e-18
TINAGL1	3531.34926039596	-0.734724179626029	0.0808607774901813	-9.08477214898777	1.03916107717e-19	3.62183885198762e-17
HAPLN3	836.471567563976	-0.992156615359903	0.109370077439679	-9.06077610659016	1.29525627677443e-19	4.41181950454963e-17
MFSD4A	223.554212895194	-1.29126548516832	0.142364460264942	-9.01277674174011	2.00903981356553e-19	6.69099548575702e-17
CEACAM7	157.485383679432	-1.30465989493689	0.143685531896921	-8.98597190188444	2.56457514707699e-19	8.35549733244408e-17
MUC20	187.191942737805	-1.28532000431573	0.142499438897898	-8.94339242339914	3.7740268686436e-19	1.20343278043323e-16
RARRES3	166.009575994225	-1.3110188058072	0.145410186714477	-8.93367173562707	4.12098861434182e-19	1.28669284089877e-16
LBH	2910.57512359516	-0.889367578494494	0.0996287419340859	-8.92490073970651	4.46099070747497e-19	1.36442587210056e-16
KRT19	385.15770571529	-1.0696957262356	0.120002408041007	-8.88568992788204	6.35253027427996e-19	1.90410742441268e-16
FAM83A	97.337185868995	-1.33722377804939	0.147689447354747	-8.84734607116103	8.9625130412781e-19	2.63374868528696e-16
DHRS9	105.0803010908	-1.35787566465732	0.151166882255002	-8.82781110134757	1.06744138602324e-18	3.07648924083275e-16
HOPX	137.108132524524	-1.32348214067589	0.148410538103684	-8.81318430934707	1.21640318330092e-18	3.43966688832658e-16
MYH2	421.92064074153	-1.14473070628731	0.131424370754389	-8.69016743243043	3.61905722875749e-18	1.00442242013682e-15
SMAD9	260.402707411401	-1.02588221107397	0.121934126348884	-8.37265236883107	5.63356105724605e-17	1.53509417390812e-14
NDRG2	90.4951272268342	-1.29801506616518	0.154162930753486	-8.31146408101351	9.45284619805923e-17	2.5298179637556e-14
AKR1C1	1831.22266738206	0.893939741267631	0.108127289086835	8.26566932251973	1.38913119594046e-16	3.65244021641398e-14
ANKH	4169.2145534936	-0.640767882515586	0.0788311648942405	-8.12745581155675	4.38394359164303e-16	1.13279590703369e-13
VTCN1	45.5209677859669	-1.31053274835971	0.155263250052338	-8.02886840346822	9.83758093316025e-16	2.49891229568259e-13
AQP3	135.871780630915	-1.15288707322459	0.142088323368317	-8.02567008303576	1.00973251144415e-15	2.52214352483558e-13
S100A8	268.546451536166	-1.13088980862027	0.140660104261325	-8.0142058926177	1.10850878194943e-15	2.72347887132394e-13
IL6	305.578603190625	1.13082173817659	0.142127651122401	7.94962267468592	1.87080445708014e-15	4.52221716100969e-13
ACTA2	15330.613363265	-0.832329668413962	0.105261008957675	-7.90755319722459	2.62496976023318e-15	6.24451139628805e-13
ATP10B	150.145046161911	-1.19387619610451	0.151081022977758	-7.8672689280594	3.62466918193428e-15	8.48795578588266e-13
LYPD2	87.9643107220937	-1.19806051292528	0.149959537829947	-7.84579910008436	4.30205181097989e-15	9.91920776787009e-13
CRYAB	6852.75081778678	-0.814498705226581	0.104692566162455	-7.7796841923366	7.27058167706237e-15	1.65097284233536e-12
SLC39A8	432.310791830578	0.902099710993478	0.116246287763001	7.7503518197347	9.16382980199123e-15	2.04982563048422e-12
KRT7	7789.20907447916	-0.675241341653875	0.0874612108607586	-7.72009563173671	1.16242458004206e-14	2.56194958545446e-12
GABRP	89.1910074698648	-1.18959590775357	0.155485242454809	-7.66958753083351	1.72550318692256e-14	3.74784293658093e-12
UPK1B	80.9099304792058	-1.19411159087637	0.153148508778403	-7.66220452273863	1.82768271581154e-14	3.91306869455251e-12
MYO5B	93.5323245141452	-1.15673744038915	0.149808546699423	-7.61348904239391	2.66793955965473e-14	5.63160706768247e-12
NBEAL2	379.736362680342	-0.898156734722694	0.118265196780793	-7.57626349171786	3.55649139019002e-14	7.40293562010804e-12
SEMA7A	1557.90636241187	-0.669569271997295	0.0890947948880303	-7.51285870339525	5.78499572525549e-14	1.18766754704663e-11
KRT15	444.13300192244	-0.995286630119186	0.135048720511226	-7.35984686660493	1.84121322633308e-13	3.7289544085208e-11
FAM3D	80.9130615371263	-1.12851085021643	0.150834865516015	-7.35153175141546	1.95948205046954e-13	3.91556766538493e-11
TNFAIP2	558.274903969928	0.890662981025341	0.121152301940926	7.34739071716592	2.0211341998618e-13	3.98562345438536e-11
ITGB8	263.92158255343	-1.0307462014864	0.140091392681486	-7.33852135616352	2.15966454208968e-13	4.20349253146727e-11
DACT1	778.869166327666	-0.762499496080931	0.103957651326623	-7.32891423233182	2.32024809445275e-13	4.45814848609787e-11
MAL2	64.9000185607452	-1.12539944141777	0.153607828016535	-7.18126385358535	6.90699047250558e-13	1.31031729381571e-10
VSIR	2271.31071928692	-0.645826986433899	0.0900551489169441	-7.17015799480973	7.4911262637498e-13	1.40336886643523e-10
TIMP3	25701.4350713525	-0.550248400424838	0.077463233627759	-7.10327809115327	1.2183190376379e-12	2.25419103914559e-10
GFPT2	887.569761901698	0.693253877015982	0.0980482740926958	7.06876850003426	1.56314664119822e-12	2.8569364282485e-10
LMOD1	3543.94741478916	-0.565391434634288	0.0801008204325125	-7.05771981891492	1.69256890960636e-12	3.05620846364704e-10
CKB	1136.08743590798	-0.674420646837284	0.0958912745786857	-7.0300744486459	2.06423366282675e-12	3.68293689342673e-10
F3	599.849412765375	-0.81949892351476	0.117529026600539	-6.96457285402084	3.29401643684841e-12	5.80793227518202e-10
TTC9	60.7910279767218	-1.09323318536605	0.154811697435699	-6.94135851190721	3.88347060599249e-12	6.76762488046622e-10
C15orf48	32.8491743513958	-1.10854709983942	0.153144095151069	-6.91772088086505	4.58967442717986e-12	7.90637363679822e-10
PTGFR	697.819757060506	0.686338234048195	0.0995065183614212	6.89433555959776	5.41171447789631e-12	9.21651873638999e-10
NR4A1	378.476365505825	-0.836210093274577	0.121726801529709	-6.85691205301158	7.03649188784638e-12	1.18489779688937e-09
MCAM	1512.98295575021	-0.687785020643626	0.100796746273141	-6.82107250542505	9.03633170957762e-12	1.504750037016e-09
CEACAM1	93.3569618446482	-1.05293668566707	0.155521048379167	-6.81538620271449	9.40108657774157e-12	1.54828664330344e-09
TM4SF1	234.237696689748	0.862275376201006	0.126541882568157	6.79803910900424	1.06052669984661e-11	1.72762104897838e-09
NCCRP1	45.0633713208319	-1.08408620746998	0.15553358434401	-6.78893251733652	1.12966262145956e-11	1.82045738793704e-09
S1PR3	483.062410448275	0.742329844737475	0.109725007299527	6.76051241941098	1.37504541874663e-11	2.19231975433572e-09
SYT15	761.92026946555	-0.802065116669027	0.118955305512399	-6.73767464595024	1.60941440915711e-11	2.53897828947765e-09
FXYD3	87.265292792883	-1.01765411977425	0.149316459781912	-6.73267599034569	1.66570720518481e-11	2.60041186292758e-09
CTGF	57754.2475513835	-0.601226891755947	0.090504673849034	-6.64309886476848	3.07155657658427e-11	4.74571323848128e-09
CLDN7	56.4856867927464	-1.04441193489766	0.155533595592652	-6.63825104025079	3.17426919867275e-11	4.85436453882740e-09
SPINT1	84.1878261875728	-1.00191561542339	0.149163619356075	-6.63128346116741	3.3278046179229e-11	5.03775836452632e-09
GEM	187.785209626234	-0.838736962948846	0.126187373600784	-6.61532935534617	3.70725414513732e-11	5.55606178731731e-09
ANKRD1	4441.3334155063	-0.585110787942358	0.0889900717878457	-6.57445317116186	4.88322951940968e-11	7.22918250564462e-09
LIPH	58.7994551659954	-1.03335178277345	0.154396130809861	-6.57333351289683	4.9201081976096e-11	7.22918250564462e-09
PAX6	121.496009633684	-0.981444139253984	0.148759697838994	-6.55271435945502	5.65005282773533e-11	8.22110113876401e-09
ID4	940.067346371606	-0.665858245279012	0.102003518907868	-6.52436591661816	6.82898082697195e-11	9.84095535132968e-09
SPNS2	63.4314081942339	-1.01936742269616	0.154650492278357	-6.50439946985898	7.80043600584438e-11	1.11338223256752e-08
DPP4	663.554767971559	0.729683260227302	0.11319634958424	6.44337434498733	1.16846014465519e-10	1.65204831961767e-08
JAM2	392.030948465343	-0.716876006975244	0.111198203973818	-6.43648308494423	1.22273454577966e-10	1.71262828388783e-08
CRYBG2	33.878301896288	-1.0149328404387	0.15385653586897	-6.41909769692062	1.37084416743164e-10	1.90230014234241e-08
KRT78	48.1250707860978	-1.01123615360989	0.155495690917621	-6.40602984734341	1.49357737443948e-10	2.05360037713068e-08
SPTBN2	166.572827513005	-0.86808627370237	0.134919128382206	-6.40153828841146	1.53819227319305e-10	2.09571705439493e-08
ACTA2-AS1	59.4181617719124	-1.00005466514845	0.155499603758442	-6.39992220690988	1.55456135775508e-10	2.0989379341149e-08
MME	1908.26588893623	0.541048608731971	0.0853244159275929	6.34054053209797	2.28960425357701e-10	3.06377669181774e-08
EVPL	53.9602432485402	-0.992173750600399	0.154048298377738	-6.31443379646262	2.71152366547558e-10	3.59624824552942e-08
SAMD11	87.2870765881637	-0.961457680446797	0.151012168783793	-6.30206887232647	2.93698597792644e-10	3.86110603957751e-08
RELB	146.616015257747	0.902824192642508	0.143271336105626	6.28515705585994	3.27522409872769e-10	4.2455548765326e-08
TNFAIP6	159.461397889918	0.828271184355557	0.131385398373867	6.28464311112135	3.28607703795144e-10	4.2455548765326e-08
KRT24	35.3118071474359	-0.98192853585228	0.153684504333588	-6.27879792871332	3.41200698602602e-10	4.37057681192922e-08
SCD	4286.73650531137	0.53691611275351	0.085629280603335	6.27006794625265	3.60890589237498e-10	4.58361632279863e-08
TPM1	19489.7200278469	-0.506406986803167	0.0807985238935233	-6.2674562130772	3.66993772101421e-10	4.6219627415832e-08
DHRS3	500.3919727168	-0.722215714321363	0.115308289087688	-6.25673302825391	3.93125527257644e-10	4.90981023084193e-08
NPAS1	414.201786109911	-0.6636388812754	0.106189090544702	-6.2413720068192	4.33749286419535e-10	5.37239715336328e-08
ABCA6	251.697406641134	0.764353858318276	0.123405578864129	6.18563298386424	6.18537655323088e-10	7.59838019698944e-08
SPCS3	4695.89682971312	-0.542347300579996	0.0877498021691934	-6.18021516212243	6.40142958702576e-10	7.79985570900447e-08
SMOC1	894.373448266991	-0.581424028454117	0.0940974661508764	-6.17586589301262	6.5801824686032e-10	7.95299956910937e-08
ATP10A	2936.7840440306	-0.512957717978639	0.0834437919831284	-6.14672545857971	7.90988622299216e-10	9.48363718591868e-08
BIRC3	72.3842304900113	0.941151912168704	0.152210740689935	6.14337618241504	8.07856500678317e-10	9.60900426640153e-08
EPS8L1	46.3732231626439	-0.968470574696498	0.155454144130825	-6.12203004732451	9.23905950239892e-10	1.09028176978309e-07
MALL	59.0426328025568	-0.955228508533212	0.154025046216821	-6.11284514584435	9.787033163726e-10	1.14276212437692e-07
NFKBIZ	559.441408273858	0.735464685603785	0.120294868483273	6.11204442602906	9.8362790448137e-10	1.14276212437692e-07
COL14A1	551.470297724258	0.691700022785182	0.113194497508314	6.10805410997559	1.0085316446379e-09	1.16268182755294e-07
RABGAP1	5568.66453638449	-0.499787072072538	0.0820289311263372	-6.09251934706137	1.11147406328923e-09	1.27157723561188e-07
FHL1	11506.8896417348	-0.516294260685318	0.0851122753943446	-6.0659156761406	1.31203959146063e-09	1.48966192100154e-07
CXCL3	27.0020912884964	0.860951134223873	0.144212654478677	6.06358491982878	1.33120443063563e-09	1.5000572031531e-07
HDAC5	1428.4567228737	-0.529671040560617	0.0874281308993035	-6.05695026012261	1.38726461072009e-09	1.55156229260165e-07
ID3	5332.77731073104	-0.64497576671606	0.106616431634199	-6.04934175489381	1.45438842485486e-09	1.61458661654073e-07
PRELP	1652.53734487384	-0.540110973795428	0.0893616223208696	-6.04297511950036	1.51297993131967e-09	1.66728163460941e-07
GLS	9650.56314591369	-0.497870591284911	0.0828640838232813	-6.00812004971959	1.87686851619876e-09	2.05318455855991e-07
ITGA1	1820.02385780603	-0.531494058844449	0.0884837224666681	-6.00553833058337	1.90698104355219e-09	2.07100905070411e-07
LSS	2857.40092920697	0.465016870958794	0.0774511534943936	6.0038237003853	1.92723963877977e-09	2.07795255153902e-07
