gene_id	MW7_limbus_mock_1	MW8_limbus_mock_2	MW9_limbus_mock_3	MW10_limbus_CoV2_1	MW11_limbus_CoV2_2	MW12_limbus_CoV2_3
A1BG	104.050102521535	94.2651380902349	108.47891445192	105.235966746108	113.773085431193	79.5147858894388
A1BG-AS1	360.923793121576	302.231525217145	343.83941634314	300.360988421182	356.888204826267	312.240988492674
A2M	349.543313158283	149.658054287589	246.014680989176	177.585693884057	174.851268136359	207.514197321218
A2M-AS1	10.5675885373434	11.6616665678641	6.77993215324501	14.2507038302021	14.371337107098	11.6363101301618
A2ML1	3.25156570379798	3.88722218928804	0	1.09620798693862	1.1976114255915	0.969692510846814
A2MP1	0	0	0	2.19241597387724	0	0
A4GALT	1037.24945951156	884.343048063029	923.039334577499	893.409509354976	986.831814687397	818.420479154711
A4GNT	0.812891425949496	0	0	0	0	0
AAAS	755.176134707081	668.602216557543	726.421302133394	750.902471052955	730.542969610816	624.481976985349
AACS	844.594191561526	861.0197149273	816.497543597935	879.158805524774	930.544077684596	984.237898509517
AACSP1	0	0.971805547322009	0	0	0	0
AADACL4	0	0.971805547322009	0	0	0	0.969692510846814
AADACP1	0.812891425949496	0	0.968561736177858	0	0	0
AADAT	99.985645391788	106.898610205421	120.101655286054	114.005630641617	123.353976835925	120.241871345005
AAGAB	1149.42847629259	977.636380605942	989.870094373771	1129.09422654678	1069.46700305321	940.60173552141
AAK1	938.076705545718	1613.19720855454	1204.89079980526	1017.28101187904	1213.18037412419	1515.62939445357
AAMDC	267.441279137384	223.515275884062	224.706322793263	285.014076604041	214.372445180879	223.029277494767
AAMP	1305.50363007489	1315.824711074	1237.8218988353	1365.87515172552	1360.48657947195	1313.93335219743
AANAT	0	0	0	0	1.1976114255915	1.93938502169363
AAR2	625.926397981112	557.816384162833	591.791220804671	528.372249704415	584.434375688653	542.058113563369
AARD	897.432134248243	861.0197149273	1003.42995868026	721.304855405612	669.464786905649	580.845813997242
AARS	3870.17607894555	4482.93898979643	3997.25428520602	3830.15070636354	4293.43696074553	4367.49506885405
AARS2	375.555838788667	388.722218928804	367.084898011408	371.614507572192	377.247599061323	401.452699490581
AARSD1	0	1.94361109464402	0	0	0	0
AASDH	395.065233011455	383.863191192194	370.95914495612	371.614507572192	347.307313421535	381.089156762798
AASDHPPT	879.548522877354	839.639992886216	866.862753879183	886.832261433344	871.861117830613	822.299249198099
AASS	519.437621181728	529.634023290495	581.137041706715	543.719161521556	613.177049902849	607.027511790106
AATBC	1.62578285189899	0.971805547322009	0	0	2.395222851183	3.87877004338726
AATF	890.929002840647	779.388048952252	786.472129776421	971.240276427618	839.525609339642	887.268647424835
AATK	0.812891425949496	0.971805547322009	0	0	0	0
ABALON	26.0125256303839	17.4924998517962	30.0254138215136	15.3469118171407	22.7546170862385	9.69692510846814
ABAT	231.674056395606	241.007775735858	267.323039185089	234.588509204865	220.360502308836	228.847432559848
ABCA1	768.995288948223	1059.26804658099	974.373106594925	992.068228179452	1261.08483114785	1310.05458215405
ABCA10	26.8254170563334	27.2105553250163	25.1826051406243	21.9241597387724	31.137897065379	30.0604678362512
ABCA11P	60.9668569462122	57.3365272919986	73.6106919495172	65.7724792163172	64.6710169819411	68.8481682701238
ABCA12	13.0062628151919	16.5206943044742	8.71705562560073	6.57724792163172	3.5928342767745	6.7878475759277
ABCA13	4.87734855569697	6.80263883125407	13.55986430649	4.38483194775448	4.790445702366	4.84846255423407
ABCA17P	0	0	3.87424694471143	0	0	0
ABCA2	2490.69932910925	3248.74594469748	2990.91864131723	2349.17371600946	2766.48239311637	2640.47270703588
ABCA3	439.774261438677	624.870966928052	501.714979340131	466.984602435852	493.415907343698	517.815800792199
ABCA4	4.06445712974748	1.94361109464402	1.93712347235572	0	1.1976114255915	2.90907753254044
ABCA5	234.112730673455	264.331108871587	277.008656546867	321.188940173016	291.019576418735	326.786376155376
ABCA6	147.946239522808	200.191942748334	167.561180358769	340.920683937911	320.959862058522	332.604531220457
ABCA7	129.24973672597	155.488887571522	172.403989039659	134.83358239345	178.444102413134	145.453876627022
ABCA8	276.383084822828	375.116941266296	327.373866828116	405.59695516729	461.080398852728	365.574076589249
ABCA9	72.3473369095051	73.8572215964727	58.1137041706715	144.699454275898	134.132479666248	143.514491605329
ABCB1	4.87734855569697	2.91541664196603	2.90568520853357	1.09620798693862	1.1976114255915	3.87877004338726
ABCB10	334.911267491192	388.722218928804	368.053459747586	358.460011728929	384.433267614872	351.998381437394
ABCB11	4.87734855569697	0.971805547322009	4.84280868088929	5.4810399346931	1.1976114255915	0
ABCB4	10.5675885373434	12.6334721151861	13.55986430649	17.5393277910179	7.18566855354901	11.6363101301618
ABCB5	0.812891425949496	0	0	0	0	0
ABCB6	912.877071341284	825.062909676386	753.541030746374	881.351221498651	925.75363198223	941.571428032257
ABCB7	287.763564786121	299.316108575179	293.474206061891	288.302700564857	247.905565097441	338.422686285538
ABCB8	581.217369553889	627.786383570018	567.577177400225	562.354697299512	526.949027260261	527.512725900667
ABCB9	93.482513984192	89.4061103536249	68.7678832686279	98.6587188244759	100.599359749686	100.848021128069
ABCC1	4724.52496761847	5997.01203252412	5213.76782584541	5659.7218365641	7128.18320512061	7280.45137143788
ABCC10	520.250512607677	593.773189413748	600.508276430272	568.931945221144	698.207461119845	671.996910016842
ABCC11	2.43867427784849	5.83083328393206	1.93712347235572	4.38483194775448	2.395222851183	1.93938502169363
ABCC2	24.3867427784849	17.4924998517962	16.4655495150236	33.9824475950972	45.509234172477	41.696777966413
ABCC3	4186.3908436399	4488.76982308036	4430.20138127752	4841.95067830789	5423.98214650391	5328.46034710325
ABCC4	201.597073635475	268.218331060875	271.1972861298	265.282332839146	282.636296439594	303.513755895053
ABCC5	761.679266114677	767.726382384387	894.951044228341	890.12088539416	925.75363198223	856.238487077737
ABCC6	3.25156570379798	5.83083328393206	0.968561736177858	1.09620798693862	2.395222851183	0.969692510846814
ABCC6P1	0.812891425949496	0	0	1.09620798693862	1.1976114255915	0
ABCC6P2	1.62578285189899	0.971805547322009	0	1.09620798693862	3.5928342767745	0.969692510846814
ABCC8	0	0	0	0	0	0.969692510846814
ABCC9	453.593415679819	710.389855092389	633.439375460319	656.628584176234	651.500615521777	903.753420109231
ABCD1	373.930055936768	398.440274402024	412.607299611768	374.903131533008	383.23565618928	301.574370873359
ABCD2	0.812891425949496	1.94361109464402	0.968561736177858	1.09620798693862	0	0.969692510846814
ABCD3	1094.96475075397	1095.2248518319	1116.75168181307	1041.39758759169	1035.93388313665	1057.93452933387
ABCD4	448.716067124122	408.158329875244	450.381207322704	473.561850357484	522.158581557895	434.422244859373
ABCE1	1953.37809655664	1989.28595536815	2073.69067715679	2067.44826336624	1970.07079509802	2026.65734766984
ABCF1	1859.0826911465	1770.6297072207	1757.93955116281	1966.59712856789	2080.25104625244	1981.08179966004
ABCF2	1855.01823401675	1878.50012297344	1842.20442221029	1790.10764267077	1954.50184656533	1837.56730805471
ABCF3	1077.08113938308	1030.11388016133	1043.14098986355	998.645476101083	1014.376877476	1048.23760422541
ABCG1	22.7609599265859	10.6898610205421	10.6541790979564	5.4810399346931	7.18566855354901	6.7878475759277
ABCG2	4.87734855569697	2.91541664196603	2.90568520853357	4.38483194775448	1.1976114255915	3.87877004338726
ABCG4	8.12891425949496	4.85902773661005	6.77993215324501	5.4810399346931	4.790445702366	6.7878475759277
ABHD1	8.12891425949496	3.88722218928804	1.93712347235572	1.09620798693862	4.790445702366	6.7878475759277
ABHD10	599.100980924778	572.393467372664	570.482862608759	622.646136581136	523.356192983486	540.118728541676
ABHD11	121.120822466475	113.701249036675	98.7932970901416	96.4663028505986	114.970696856784	67.878475759277
ABHD11-AS1	0.812891425949496	0.971805547322009	3.87424694471143	0	0	0.969692510846814
ABHD12	821.83323163494	681.235688672729	719.641369980149	742.132807157446	650.303004096185	593.45181663825
ABHD12B	0.812891425949496	0	0	0	0	0
ABHD13	387.749210177909	423.707218632396	417.450108292657	390.250043350149	364.073873379816	400.483006979734
ABHD14A	136.565759559515	104.954999110777	149.15850737139	130.448750445696	125.749199687108	127.99941143178
ABHD14B	1161.62184768183	1020.39582468811	1027.64400208471	1149.92217829861	1150.90457999343	959.0258932275
ABHD15	269.879953415233	255.584858945688	258.605983559488	258.705084917514	269.462570758088	246.301897755091
ABHD16A	507.244249792485	505.338884607445	458.129701212127	482.331514252993	480.242181662192	403.392084512275
ABHD16B	0	1.94361109464402	0	0	1.1976114255915	0
ABHD17A	692.58349490897	578.224300656596	584.042726915249	656.628584176234	641.919724117045	477.088715336633
ABHD17B	192.65526795003	161.319720855454	176.27823598437	174.297069923241	171.258433859585	160.968956800571
ABHD17C	493.425095551344	405.242913233278	424.230040445902	441.771818736264	409.583107552293	401.452699490581
ABHD18	196.719725079778	238.092359093892	244.07755751682	206.087101544461	238.324673692709	226.908047538155
ABHD2	2015.97073635475	2674.40886623017	2401.06454398491	2194.60838985112	2567.67889646818	2514.41268062579
ABHD3	97.5469711139395	78.7162493330828	79.4220623665844	105.235966746108	102.994582600869	77.5754008677452
ABHD4	2733.75386546815	2463.52706246129	2626.73942851435	2520.18216197189	2655.10453053636	2452.35235993159
ABHD5	575.527129572243	540.323884311037	564.671492191691	618.261304633382	576.051095709512	639.997057158898
ABHD6	155.262262356354	167.150554139386	125.913025703122	138.122206354266	134.132479666248	130.90848896432
ABHD8	182.087679412687	136.052776625081	158.844124733169	169.912237975486	171.258433859585	155.15080173549
ABI1	1038.87524236346	1094.25304628458	1144.83997216223	1053.45587544801	1044.31716311579	1168.47947557041
ABI2	1143.73823631094	1260.43179487665	1258.16169529504	1050.1672514872	1161.68308282376	1242.17610639477
ABI3BP	6451.1063563352	9207.85756087604	9367.92911231225	12514.3103788913	14856.3697344626	14603.569213353
ABL1	1915.98509096296	2567.51025602475	2203.47794980463	2181.45389400786	2671.87109049464	2591.98808149353
ABL2	757.61480898493	1234.19304509895	1126.43729917485	955.893364610477	1093.41923156504	1293.56980946965
ABLIM1	377.181621640566	452.861385052056	454.255454267416	337.632059977095	376.049987635731	395.6345444255
ABLIM2	70.7215540576061	82.6034715223708	86.2019945198294	106.332174733046	82.6351883658136	71.7572458026643
ABLIM3	868.168042914061	923.215269955909	869.768439087717	936.161620845582	1146.11413429107	1174.29763063549
ABO	4.06445712974748	3.88722218928804	1.93712347235572	1.09620798693862	0	0.969692510846814
ABR	1459.14010957934	1759.93984620016	1559.38439524635	1657.46647625119	1846.71681826209	1877.32470099943
ABRACL	221.106467858263	191.445692822436	183.058168137615	177.585693884057	170.060822433993	195.877887191057
ABRAXAS1	396.691015863354	410.101940969888	346.745101551673	365.037259650561	389.223713317238	429.573782305139
ABRAXAS2	464.161004217162	410.101940969888	498.809294131597	465.888394448914	428.744890361757	507.149183172884
ABT1	266.628387711435	225.458886978706	258.605983559488	259.801292904453	249.103176523032	242.423127711704
ABTB1	437.335587160829	398.440274402024	406.7959291947	450.541482631773	451.499507447996	389.816389360419
ABTB2	256.060799174091	324.583052805551	283.788588700112	229.107469270172	233.534227990343	211.392967364606
ACAA1	1413.61818972617	1267.2344337079	1217.48210237557	1233.23398530595	1213.18037412419	1150.05531786432
ACAA2	1020.99163099257	872.681381495164	885.265426866563	977.81752434925	852.699335021149	857.208179588584
ACACA	1689.18838312305	2077.72026017446	2078.53348583768	1840.53321006994	2097.01760621072	2288.47432559848
ACACB	186.965027968384	269.190136608197	236.329063627397	223.626429335479	308.983747802607	293.816830786585
ACAD10	461.722329939314	401.35569104399	466.846756837728	379.287963480763	392.816547594012	439.270707413607
ACAD11	25.1996342044344	54.4211106500325	59.0822659068494	46.0407354514221	71.8566855354901	79.5147858894388
ACAD8	343.040181750687	293.485275291247	311.87687904927	343.113099911788	380.840433338097	302.544063384206
ACAD9	696.647952038718	756.064715816523	671.213283171256	714.727607483981	734.13580388759	735.026923221885
ACADL	0	0	0.968561736177858	1.09620798693862	1.1976114255915	0
ACADM	577.152912424142	549.070134236935	607.288208583517	584.278857038285	522.158581557895	508.118875683731
ACADS	144.69467381901	123.419304509895	111.384599660454	114.005630641617	108.982639728827	109.57525372569
ACADSB	469.851244198808	448.974162862768	503.652102812486	458.214938540343	469.463678831868	478.05840784748
ACADVL	5909.72066665283	5035.89634622265	5120.78589917234	5694.80049214613	5835.96047690738	5346.88450480933
ACAN	1195.76328757171	1194.34901765875	1564.22720392724	308.034444329752	258.684067927764	348.119611394006
ACAP1	13.8191542411414	12.6334721151861	11.6227408341343	15.3469118171407	15.5689485326895	13.5756951518554
ACAP2	1088.46161934637	1563.63512564111	1461.55965989239	1380.12585555572	1512.58323052207	1738.65867194834
ACAP3	1031.55921952991	934.876936523773	950.159063190479	973.432692401495	986.831814687397	992.965131107138
ACAT1	1137.23510490334	979.579991700586	1024.73831687617	1189.3856658284	990.424648964171	1049.20729673625
ACAT2	414.574627234243	366.370691340398	357.39928064963	542.622953534617	456.289953150362	449.937325032922
ACBD3	1585.95117202747	1758.96804065284	1717.25995824334	1574.15466924386	1566.47574467368	1723.14359177479
ACBD3-AS1	4.06445712974748	5.83083328393206	2.90568520853357	6.57724792163172	5.98805712795751	3.87877004338726
ACBD4	257.68658202599	249.754025661756	223.737761057085	223.626429335479	227.546170862385	200.726349745291
ACBD5	447.903175698172	493.677218039581	543.363133995779	516.31396184809	547.308421495316	533.330880965748
ACBD6	605.604112332374	555.872773068189	559.828683510802	645.666504306848	613.177049902849	574.057966421314
ACBD7	11.3804799632929	33.0413886089483	14.5284260426679	25.2127836995883	13.1737256815065	28.1210828145576
ACCS	334.911267491192	367.34249688772	393.23606488821	386.961419389333	403.595050424336	363.634691567555
ACD	200.784182209525	175.896804065284	178.215359456726	192.932605701197	184.432159541091	190.059732125976
ACE	117.056365336727	125.362915604539	133.661519592544	132.641166419573	198.803496648189	157.090186757184
ACE2	8.94180568544445	9.71805547322009	5.81137041706715	7.67345590857034	1.1976114255915	2.90907753254044
ACER1	2.43867427784849	1.94361109464402	0	1.09620798693862	1.1976114255915	0.969692510846814
ACER2	31.7027656120303	30.1259719669823	41.6481546556479	26.3089916865269	22.7546170862385	32.9695453687917
ACER3	476.354375606404	533.521245479783	508.494911493376	423.136282958308	488.625461641332	502.30072061865
ACHE	12.1933713892424	9.71805547322009	7.74849388942287	3.28862396081586	7.18566855354901	9.69692510846814
ACIN1	3249.93992094608	3194.32483404745	3204.00222327636	3329.18365633259	3790.4401619971	4104.70839841457
ACKR1	413.761735808293	325.554858352873	377.739077109365	399.019707245658	486.230238790149	393.695159403807
ACKR2	19.5093942227879	13.6052776625081	17.4341112512015	6.57724792163172	8.38327997914051	11.6363101301618
ACKR3	590.972066665283	502.423467965479	518.180528855154	514.121545874213	561.679758602414	461.573635163084
ACKR4	35.7672227417778	32.0695830616263	33.899660766225	69.0611031771331	86.2280226425881	62.0603206941961
ACLY	5433.36629104643	6370.18536269577	5920.81789325525	5727.68673175429	5961.70967659449	6146.88082625796
ACMSD	1.62578285189899	0.971805547322009	0	1.09620798693862	0	0
ACO1	2586.62051737129	2666.63442185159	2645.14210150173	3180.09937010894	3111.39448368672	3053.56171665662
ACO2	1939.5589423155	2009.69387186192	1925.50073152158	1789.01143468383	1883.84277245543	1812.3553027727
ACOT1	130.062628151919	86.4906937116588	104.604667507209	126.063918497941	116.168308282376	97.9389435955283
ACOT11	12.1933713892424	8.74624992589809	9.68561736177858	10.9620798693862	10.7785028303235	13.5756951518554
ACOT12	0	0	0.968561736177858	0	0	0.969692510846814
ACOT13	435.70980430893	318.752219521619	379.67620058172	382.576587441579	342.516867719169	379.149771741104
