ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0030496	midbody	200	-0.45287446244606	-1.72638489600913	8.87648282566358e-06	0.000254059332766966	0.000214146726491116	3437	tags=38%, list=18%, signal=31%	EXOC6/TSG101/ANXA11/C6orf89/MICAL1/HSPA5/TXNDC9/CTNND1/RHOA/RAB11FIP3/VPS37B/SSH1/DNM2/KIF20B/VPS4A/ARF6/ATXN10/ANXA2/CTDP1/LUZP1/LZTS2/CLIC4/POLDIP2/DCTN3/MAP7D2/NUP62/CCDC124/CIAO2B/ECT2/GNAI1/URB2/RAB8A/KLHDC8B/NUDC/CHMP6/RAD21/MAP7D1/PDXP/GNAI2/CHMP1A/EML4/ASPM/PIN1/KIF14/MICAL3/GDI1/CENPF/CENPV/PITPNM1/CRMP1/PSRC1/KIF20A/DAPK3/PLK1/KIF4A/CHMP3/NEK2/CENPE/RACGAP1/CEP55/INCENP/RAB11FIP4/PRC1/PKP4/SLC2A1/SPAG5/BIRC5/KIF23/ANLN/SHCBP1/AURKA/CDCA8/CDK1/AURKB/MYH10
GO:0001726	ruffle	178	-0.459883496252334	-1.72521220660669	1.4194444757149e-05	0.000395576763100548	0.000333431832522504	3180	tags=37%, list=16%, signal=31%	GNAS/TLR4/RHOA/ARF4/CLASP2/TLN2/ARHGAP1/APPL2/ARF6/CTTN/BAIAP2/EPS8L1/PIP5K1C/ARHGEF7/ARAP3/INPP5K/PLCG1/NME1/SRC/PARD6A/PPP1R9B/CIB1/ARHGEF4/NF2/MYO9B/CYTH3/PALLD/ERBB2/KCNN4/PDXP/PACSIN2/PLEKHO1/S100B/LIMA1/KIF18A/FGD4/PIP5K1A/CFL1/PSD/TLN1/DLC1/LAYN/DIAPH1/MTSS1/DBNL/CORO1C/PDLIM7/EZR/MYO10/MYH9/BCAR1/PDE9A/CARMIL2/FSCN1/TPM1/KNSTRN/KANK1/MYO1C/EPHA2/CSPG4/ACTN1/TNFRSF12A/MYADM/SPRY4/RASGRP2
GO:0032153	cell division site	54	-0.643337914175916	-2.01369344043492	1.51746881256794e-05	0.000412051146797295	0.000347318097991259	3317	tags=52%, list=17%, signal=43%	MEN1/FSD1/RHOA/RAB11FIP3/SSH1/ARF6/MAEA/MASTL/DCTN3/ECT2/PLCD3/NF2/NDE1/PDXP/LIMA1/PITPNM1/PLK4/PSD/KIF20A/RHOC/RACGAP1/MYH9/CEP55/RAB11FIP4/DIAPH3/ANLN/RHOB/MYH10
GO:0042555	MCM complex	11	-0.896700491567621	-1.96799102017274	2.02421380439822e-05	0.000498521492757609	0.000420203991708616	696	tags=82%, list=4%, signal=79%	MCMBP/TONSL/MCM6/MCM4/MCM7/MCM3/MCM8/MCM2/MCM5
GO:0106139	symbiont cell surface	10	0.920118567728444	2.02114309083191	2.87344390070398e-05	0.000691585702464889	0.000582937901386836	158	tags=50%, list=1%, signal=50%	CFB/C3/C1R/C1S/C2
GO:0044297	cell body	472	-0.362773431681343	-1.50892521776216	3.14720843124617e-05	0.000740643050819931	0.000624288362502164	3117	tags=26%, list=16%, signal=22%	OLFM1/ADCY8/DCTN1/TRAK2/CNKSR2/KCNC3/SRD5A1/PTK7/MAP1B/DNAJB1/VTI1B/PLXND1/SPTBN2/NRSN2/LMTK2/ATXN10/SEZ6L2/BAIAP2/ROGDI/DRP2/KCNE3/LUZP1/ARHGEF7/FCHSD1/CCT7/CCT5/PPP1CA/KCND3/ELK1/NSMF/ATP13A2/RAP1GAP/STMN2/SLC1A4/PPP1R9B/CIB1/PPP2R1A/KNDC1/MAGOHB/APOB/RAB8A/FKBP4/NEGR1/ALCAM/TTLL7/ZPR1/WNK4/NF2/SNCAIP/PTPRF/PINK1/PIEZO2/ATP1A3/FADD/YKT6/PPP5C/EPHA5/UBB/KCNN4/TUBB3/NDEL1/PDE1C/RRM1/BACE1/ITSN1/TMEM50A/GNAI2/S100B/RBM8A/NAXE/SLC1A1/DAB2IP/ENO2/GDI1/CACNA1A/AKAP12/ITGA1/CACNA1C/PICALM/HSP90AA1/CYBA/SNCG/PTK2B/PITPNM1/GHR/SORBS2/CRMP1/SERPINI1/FLNA/CFL1/HCN2/MAP2K1/SYNPO/TRPM4/KCNA1/DBNL/ITGA8/RTN1/FLNB/SLC8A1/CD200/MYO10/TPX2/PDE9A/TUBB/NRGN/TGFB1/KCNC4/DRD2/MAP1S/LYPD6/ACTG2/AURKA/KCNB1/MBP/ACTA2/ADRA2A/FZD5/PENK/CRYAB/MYH10/ACTC1
GO:0032154	cleavage furrow	50	-0.641114007590115	-1.9978076959209	4.32669015423144e-05	0.000996079320289368	0.000839595709562531	3317	tags=52%, list=17%, signal=43%	MEN1/FSD1/RHOA/RAB11FIP3/SSH1/ARF6/MASTL/DCTN3/ECT2/PLCD3/NF2/NDE1/PDXP/LIMA1/PITPNM1/PLK4/PSD/KIF20A/RHOC/RACGAP1/MYH9/CEP55/RAB11FIP4/DIAPH3/RHOB/MYH10
GO:0032993	protein-DNA complex	130	-0.476140929728392	-1.71698835683868	9.79085276783593e-05	0.00211602307778332	0.0017835968092642	2559	tags=29%, list=13%, signal=26%	TEAD4/ACTL6A/BRF1/PRPF19/TAF10/RPA1/POLD1/PCNA/PARP1/MORF4L2/POLD3/SLF1/DONSON/VPS72/RUVBL2/POLA1/ACD/ZNHIT1/PRIM1/NFYB/CENPA/PRIM2/GINS3/TONSL/MCM6/MCM4/MCM7/GINS4/POLA2/MCM3/ACTB/MCM2/MCM5/FOS/GINS1/CDC45/GINS2/TGM2
GO:0005635	nuclear envelope	471	-0.351518230592498	-1.46378526061117	0.000165416665961906	0.00350352498507316	0.00295312279443571	2577	tags=22%, list=13%, signal=19%	ROGDI/GRK5/ITPR1/STX1A/CSE1L/TMEM109/APEH/TEX2/SIGMAR1/AKIRIN1/ZBED1/HAX1/NUP62/NSMF/TMEM147/TENT4A/TOR1B/TOR2A/PCNA/MLX/NUP58/AAAS/PARP1/TNRC18/SURF4/SMPD4/SYNE2/BCL2L1/GTPBP4/NUTF2/GAPDH/CHMP6/POLA1/SORT1/EIF5A/NUP85/LMNA/TRA2B/MRGPRF/PTGDS/MYOF/TYRO3/RRM1/SEH1L/ITSN1/PLCB1/NPIPB3/TMEM201/CEP128/RAC2/NRM/CHMP1A/BNIP3/MNS1/HMGA1/HABP4/PTGER3/BANF1/RRP12/NOC4L/RANBP1/DHX37/CENPF/ATP2A3/LRRC59/SUV39H1/CENPV/KPNA2/ENO1/NUP35/ADRA1B/CCND1/CALR/NUP188/NAV3/PTGES/TMPO/NUP93/TMEM97/BOK/DMPK/CHMP3/RANGAP1/DES/BRIP1/SLC16A3/MAD2L1/TUBB/MYORG/ITPRIP/LMNB1/LMNB2/CDK2/CEMIP/DTL/OTULINL/FAM111B/AQP1/GCHFR/LMO7/PDE4D/PTGS2/NR4A1
GO:0150034	distal axon	247	-0.393144980032209	-1.54553677139632	0.00038165702676111	0.00721740698821457	0.006083555614538	4449	tags=36%, list=23%, signal=28%	ADGRL1/BOC/TRPV2/ZFYVE27/FKBP15/CDKL5/FGF13/BASP1/DVL1/AP1S1/CTSZ/DOCK7/CDK5R1/PTPRN/DTNBP1/TRAK1/TRPV4/RTN4R/PRRT2/NTRK2/THY1/ADORA1/EXOC6/CALM1/MICAL1/CBL/OLFM1/TRAK2/TSPOAP1/KCNC3/MAP1B/SSH1/CLASP2/KCNQ5/DNM2/GDPD5/KIF20B/LMTK2/AP3D1/CTTN/ELK1/SIGMAR1/GOT1/TBC1D24/TAOK2/STMN2/PPP1R9B/KLC1/CIB1/PRSS12/GPRIN1/FKBP4/PTPRO/ZPR1/PINK1/NECTIN1/PALLD/STMN3/TUBB3/NEO1/SLC1A1/CALM3/ENO2/DBN1/HSP90AA1/SNCG/FLRT3/PTK2B/AUTS2/CRMP1/FLNA/CFL1/CBARP/CNR1/KCNA1/SLC8A1/UNC13A/ACTG1/FSCN1/KCNC4/DRD2/ACTB/ROR1/ADRA2A/ITGA3/TENM2/PENK/MYH10/NMU
