ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa00980	Metabolism of xenobiotics by cytochrome P450	43	0.673374871071743	2.07382186833061	6.79065262011772e-05	0.000760489335291711	0.000509216543221643	251	tags=16%, list=1%, signal=16%	ADH1B/HSD11B1/AKR1C1/ALDH3A1/MGST1/CBR3/ADH1C
hsa05022	Pathways of neurodegeneration - multiple diseases	423	-0.366500050426453	-1.50202867246804	6.97115224017402e-05	0.000760489335291711	0.000509216543221643	4631	tags=39%, list=25%, signal=30%	NDUFV3/MAPK13/NDUFB4/CALM2/ALS2/UQCRH/CASP3/FRAT1/RELA/DNAI1/SDHB/TRAP1/NDUFB7/UBE2G2/PARK7/CASP9/PSMD1/DAXX/NDUFAB1/PSMB5/ATP5F1B/BAD/PSMB3/BAK1/PSMA2/CTNNB1/MTOR/WNT16/WNT3/FZD6/PSMD12/CSNK2B/NRAS/CAPN1/GPX7/CAPN2/DVL1/COX4I1/NDUFA7/NDUFS8/WDR41/NDUFB6/MAP1LC3C/MAPK1/CDK5R1/ATXN2/RYR3/AXIN1/NDUFB8/HRAS/DVL3/KIF5B/UQCR10/NDUFS6/SEM1/DNAH10/CYCS/PSMB7/NDUFA6/TUBA8/PSMC2/UBA1/NDUFA8/NDUFC1/TOMM40L/GRM1/CALM1/PRKCA/MAPK11/PLCB2/PSMC4/HSPA5/DCTN1/MAP3K5/EIF2S1/VDAC1/COX6B1/UQCR11/CAMK2B/ACTR1A/MFN2/SPTBN2/ACTR1B/NEFM/TUBA4A/NDUFA12/KRAS/COX8A/NDUFA13/UBE2L3/ATP5MC1/ITPR1/STX1A/PSMD3/APAF1/NDUFA11/DCTN3/SIGMAR1/COX7A2/DNALI1/UQCRC1/RAF1/NDUFB11/LRP5/PLCG1/PSMD2/ADRM1/NDUFA1/KLC1/NDUFB2/CHRM3/NDUFA3/RAB8A/PLCB3/KLC2/BCL2L1/ATP5F1E/PSMD9/PSMA7/SNCAIP/HIP1/PINK1/COX5B/VCP/FADD/PSMD8/UBB/TUBB3/PSMC3/PLCB1/CALM3/TUBB2B/COX7A1/TUBA1A/WNT4/AXIN2/ATG101/WNT2/FZD7/WNT9A/CACNA1C/ATP2A3/DKK2/FUS/ATP2A2/MAP2K1/TOMM40/DKK1/WNT8B/NEFH/WNT5B/TUBA1B/TUBB2A/FZD1/TUBA1C/TUBB/FZD4/DNAH11/FZD8/TUBB4B/TUBB6/SLC25A4/BDNF/MAP2K3/FZD5/WNT2B/PTGS2
hsa04216	Ferroptosis	39	0.697684324930245	2.08512433017823	8.19072747009647e-05	0.000867253496833744	0.000580704826827273	2682	tags=49%, list=15%, signal=42%	SLC39A8/SLC39A14/FTH1/SLC7A11/GCLM/GCLC/SLC11A2/LPCAT3/SAT1/TP53/ACSL1/CP/ACSL5/TFRC/PCBP2/TF/ATG7/STEAP3/FTL
hsa05414	Dilated cardiomyopathy	88	-0.531904641539307	-1.8094490221903	9.52329186192134e-05	0.000979538591511909	0.000655889875603003	3109	tags=44%, list=17%, signal=37%	AGT/GNAS/ADCY8/TNNC1/EMD/ADCY7/ADCY5/ADCY9/SGCE/LAMA1/TGFB3/SNTB1/SGCG/PRKACA/CACNA2D4/LMNA/DAG1/TPM3/TPM4/ITGA1/CACNA1C/ATP2A3/ATP2A2/ITGA6/ITGB8/ITGA8/ITGA7/SLC8A1/CACNB3/DES/ACTG1/TPM2/TPM1/TGFB1/ADCY6/ACTB/TNNT2/ITGA3/ACTC1
hsa04914	Progesterone-mediated oocyte maturation	91	-0.529330917341891	-1.80872161760106	0.000100632647933268	0.00100632647933268	0.000673826794640891	2634	tags=36%, list=14%, signal=31%	KRAS/ANAPC15/ADCY7/ADCY5/ADCY9/RAF1/ANAPC11/MAD2L2/STK10/GNAI1/PRKACA/CPEB2/RPS6KA1/IGF1R/AKT1/GNAI2/CCNB2/HSP90AA1/MAP2K1/CDC25C/RPS6KA6/PLK1/CCNB1/CCNA2/MAD2L1/KIF22/ADCY6/BUB1/AURKA/CDK2/CDK1/CDC25A/PKMYT1
hsa05167	Kaposi sarcoma-associated herpesvirus infection	163	0.470701894816025	1.78012722420025	0.000104881486654084	0.00102046851879649	0.000683296171942682	1447	tags=17%, list=8%, signal=15%	C3/CXCL1/CXCL3/CXCL2/CXCL8/ICAM1/IL6/NFKBIA/TLR3/IFNGR1/CALML6/PIK3R1/NFATC4/CLEC2B/IFNAR2/IKBKE/TP53/TRAF3/MAP2K6/NFKB1/JAK2/ITPR2/CASP8/IRF7/HLA-B/STAT1/ATG14
hsa04530	Tight junction	146	-0.468571365634561	-1.73287564131806	0.00012376170636898	0.0011724793234956	0.000785081184445884	2978	tags=34%, list=16%, signal=28%	RHOA/MAP3K5/PRKCI/TIAM1/TUBA4A/PARD6G/CTTN/ARPC1B/ACTR2/F11R/SRC/PCNA/PARD6A/JAM3/PPP2R1A/RAB8A/PRKAB1/AMOTL1/PRKACA/ARPC5L/NF2/ARPC2/MSN/ERBB2/ARPC4/TUBA1A/JAM2/MYL12B/CCND1/EPB41L4B/PRKAG2/ARPC5/SYNPO/VASP/TUBA1B/MYL12A/AMOTL2/ACTG1/EZR/MYL6/MYH9/TUBA1C/ACTB/MPP4/ACTN1/ACTN4/MAGI1/MYL9/MYH10
hsa04024	cAMP signaling pathway	174	-0.432262605296331	-1.6270970479333	0.000131705521066039	0.00121574327137882	0.000814050319139619	3345	tags=32%, list=18%, signal=26%	PPP1R12A/ADORA1/ADCY3/CALM1/ROCK1/VAV2/AKT3/ATP1A2/ORAI1/GNAS/RHOA/ADCY8/TIAM1/HTR1B/CAMK2B/HCAR1/ADCY7/RRAS/ADCY5/ARAP3/RAP1B/PPP1CA/ADCY9/RAF1/GNAI1/PRKACA/FXYD1/CREB5/ATP1A3/AKT1/GNAI2/RAC2/PDE3A/CALM3/CREB3L2/PTGER3/CACNA1C/ATP2A3/PDE10A/RAPGEF3/HCN2/ATP2A2/MAP2K1/ATP1B1/HHIP/ADCY6/DRD2/FOS/BDNF/EDN1/MYL9/PDE4D/PDE4B/OXTR/VAV3
hsa02010	ABC transporters	40	0.68495878780262	2.06319646699531	0.000142982941063571	0.00128684646957214	0.000861660355356785	1059	tags=32%, list=6%, signal=31%	ABCA9/ABCA6/ABCA10/ABCC2/ABCA7/ABCC9/ABCC3/ABCC1/ABCA8/ABCA5/TAP1/ABCB6/ABCB7
hsa05205	Proteoglycans in cancer	189	-0.421170779305309	-1.59689106260096	0.000167852831646302	0.0014738297412846	0.000986862604544369	3256	tags=33%, list=18%, signal=28%	PRKCA/MAPK11/ROCK1/CD63/VAV2/AKT3/CBL/FGFR1/TLR4/RHOA/TIAM1/CAMK2B/KRAS/GRB2/CTTN/ITPR1/RRAS/PPP1CA/ELK1/GPC3/RAF1/PLCG1/SDC4/SRC/PRKACA/MSN/IGF1R/IGF2/ERBB2/AKT1/WNT4/WNT2/FZD7/WNT9A/HSPG2/CCND1/NUDT16L1/PLAUR/FLNA/MAP2K1/ERBB3/HBEGF/THBS1/WNT8B/HPSE/WNT5B/ACTG1/EZR/SDC2/TIMP3/FZD1/MET/SDC1/TGFB1/ANK1/FZD4/ACTB/FZD8/MRAS/FZD5/WNT2B/VTN/VAV3
