gene_id	MW13_sclera_mock_1	MW14_sclera_mock_2	MW15_sclera_mock_3	MW16_sclera_CoV2_1	MW17_sclera_CoV2_2	MW18_sclera_CoV2_3
A1BG	87.6125364690797	77.4095872736906	90.8803375633664	92.3245112000656	88.178575288301	67.9819199113542
A1BG-AS1	248.94781704019	266.510150470849	218.652693345525	283.060864008992	229.490394660578	224.987782563768
A2M	2703.16728374112	2502.54137143374	3005.34977684796	1559.37113971979	1460.59896503186	1465.65782094598
A2M-AS1	10.6844556669609	14.3760662079711	6.29863725686698	10.1455506813259	18.0879128796515	13.7582456963455
A3GALT2	0	0	0.899805322409568	0	0	0.809308570373265
A4GALT	900.699612724808	767.460765256304	875.51057870451	919.186891728126	955.267898956594	950.128261618213
AAAS	765.007025754404	764.143211516003	780.131214529096	715.261323033476	652.295358222432	664.44233627645
AACS	909.247177258376	870.304931205635	835.019339196079	886.721129547883	881.78575288301	847.346073180808
AADAC	0	0	0.899805322409568	1.01455506813259	0	0
AADACL2	0	1.10585124676701	0	0	0	0
AADACL4	2.13689113339219	2.21170249353402	0.899805322409568	1.01455506813259	1.13049455497822	0.809308570373265
AADAT	86.5440909023837	89.5739509881277	81.8822843392707	112.615612562717	83.6565970683881	90.6425598818056
AAGAB	774.623035854669	826.070881334955	893.506685152701	863.386362980834	887.438225657901	845.727456040061
AAK1	1027.84463516164	1009.64218829828	1063.56989108811	1087.60303303814	1084.14427822411	1148.40886135966
AAMDC	232.921133539749	169.195240755352	207.85502947661	203.92556869465	194.445063456253	174.001342630252
AAMP	1417.82726700572	1376.78480222493	1310.11654942833	1305.73237268664	1275.19785801543	1274.66099833789
AANAT	1.06844556669609	0	0	2.02911013626518	1.13049455497822	2.42792571111979
AAR2	545.975684581704	514.220829746659	538.083582800922	511.335754338825	527.940957174828	502.580622201797
AARD	500.032525213772	523.067639720795	603.76937133682	391.61825629918	386.62913780255	313.202416734453
AARS	5192.64545414302	5093.55084260884	4894.94095390805	4831.31123444739	4803.47136410245	4703.70141100941
AARS2	460.500039246017	369.354316420181	399.513563149848	401.763806980505	393.41210513242	407.891519468125
AARSD1	0	1.10585124676701	0	0	0	0.809308570373265
AASDH	329.081234542397	338.390481510704	374.31901412238	380.458150549721	385.498643247572	440.263862283056
AASDHPPT	663.504696918275	705.533095437351	794.528099687649	784.251067666492	735.95195529082	769.652450424975
AASS	852.619562223483	880.257592426539	892.606879830292	976.001975543551	1040.05499057996	1035.91497007778
AATBC	0	2.21170249353402	0	1.01455506813259	0	0
AATF	1166.74255883214	1127.96827170235	1035.67592609341	1052.0936056535	1025.35856136524	998.686775840609
AATK	2.13689113339219	3.31755374030102	2.6994159672287	1.01455506813259	1.13049455497822	4.04654285186632
ABALON	7.47911896687266	11.0585124676701	8.09824790168611	0	15.826923769695	5.66515999261285
ABAT	309.849214341867	330.649522783335	332.92796929154	273.929868395799	293.928584294337	260.597359660191
ABCA1	1128.27851843108	1162.24966035213	1227.33445976665	1264.13561489321	1302.32972733491	1223.67455840438
ABCA10	33.1218125675789	47.5516036109814	41.3910448308401	60.8733040879554	72.3516515186059	64.7446856298612
ABCA11P	48.0800505013243	48.6574548577484	64.7859832134889	54.7859736791598	64.4381896337584	63.1260684891146
ABCA12	0	4.42340498706803	0.899805322409568	3.04366520439777	1.13049455497822	4.85585142223959
ABCA13	0	0	0	0	0	1.61861714074653
ABCA17P	1.06844556669609	0	3.59922128963827	2.02911013626518	0	1.61861714074653
ABCA2	1806.7414532831	1735.08060617744	1673.6378996818	1557.34202958352	1480.94786702147	1535.25835799808
ABCA3	108.981447803002	100.632463455798	104.37741739951	100.440951745126	124.354401047604	86.5960170299393
ABCA4	10.6844556669609	13.2702149612041	10.7976638689148	8.11644054506072	3.39148366493465	5.66515999261285
ABCA5	392.119522977467	464.457523642143	443.604023947917	531.626855701477	549.420353719414	516.338867898143
ABCA6	152.787716037542	144.866513326478	144.86865690794	293.206414690318	327.843420943683	326.151353860426
ABCA7	113.255230069786	118.32608340407	121.473718525292	154.212370356154	154.877754032016	158.62447979316
ABCA8	365.408383810064	398.106448836123	425.607917499726	491.044652976173	518.897000735002	474.254822238733
ABCA9	89.7494276024719	97.3149097154967	98.0787801426429	246.536881556219	269.057704084816	263.025285371311
ABCB1	0	0	0	0	2.26098910995644	0.809308570373265
ABCB10	345.107918042839	307.426646601228	337.426995903588	347.992388369478	349.322817488269	348.811993830877
ABCB11	0	0	0	0	0	3.23723428149306
ABCB4	3.20533670008828	0	0	0	0	0
ABCB6	872.920027990709	860.352269984732	905.204154344025	1074.41381715241	1047.96845246481	1054.52906719636
ABCB7	287.411857441249	321.802712809199	329.328748001902	340.89050289255	396.803588797354	394.13327377178
ABCB8	571.618378182411	551.819772136737	526.386113609597	560.034397609189	491.765131415525	513.910942187023
ABCB9	134.624141403708	147.078215820012	161.065152711313	132.906713925369	146.964292147168	124.633519837483
ABCC1	6264.2963575392	5571.27858121219	5692.16846956293	6778.24241019383	7334.64867269868	7536.28140731584
ABCC10	558.797031382057	474.410184863046	485.894874101167	503.219313793764	481.590680420721	503.389930772171
ABCC11	0	2.21170249353402	0	2.02911013626518	0	1.61861714074653
ABCC12	0	5.52925623383504	4.49902661204784	0	0	0.809308570373265
ABCC2	179.498855204944	140.44310833941	170.063205935408	237.405885943026	198.967041676166	252.504273956459
ABCC3	8135.14454482406	7899.09545565674	7455.78690148568	9582.47261851231	9612.59520097979	9889.75072996129
ABCC4	305.575432075083	298.579836627092	301.434783007205	293.206414690318	315.407980838923	324.532736719679
ABCC5	935.958316425779	890.210253647442	904.304349021616	910.055896114933	933.788502412008	903.997673106937
ABCC6	3.20533670008828	2.21170249353402	1.79961064481914	7.10188547692813	1.13049455497822	7.28377713335938
ABCC6P1	2.13689113339219	3.31755374030102	0.899805322409568	2.02911013626518	0	0.809308570373265
ABCC6P2	3.20533670008828	1.10585124676701	1.79961064481914	0	5.65247277489109	4.85585142223959
ABCC9	92.9547643025602	128.278744624973	108.876444011558	128.848493652839	137.920335707343	162.671022645026
ABCD1	334.423462375878	307.426646601228	303.234393652024	264.798872782606	315.407980838923	293.779011045495
ABCD2	6.41067340017657	2.21170249353402	4.49902661204784	2.02911013626518	1.13049455497822	3.23723428149306
ABCD3	1043.87131866208	1123.54486671528	1157.1496446187	1142.3890067173	1096.57971832887	1092.56657000391
ABCD4	457.294702545928	427.964432498832	397.713952505029	453.506115455267	460.111283876135	475.87343937948
ABCE1	2223.43522429457	2360.99241184756	2281.00649230826	2316.2292205467	2263.25009906639	2296.81772271933
ABCF1	1918.92823778619	1751.66837487894	1712.32952854541	1663.87031173745	1681.04540325261	1706.83177491722
ABCF2	2020.43056662231	1897.64073945219	1858.09799077576	1686.19052323636	1746.61408744135	1752.96236342849
ABCF3	1039.5975363953	991.948568350006	959.1924736886	884.692019411618	904.395643982574	934.751398781121
ABCG1	0	1.10585124676701	0	1.01455506813259	0	0.809308570373265
ABCG2	2.13689113339219	4.42340498706803	6.29863725686698	5.07277534066295	6.78296732986931	4.85585142223959
ABCG4	0	13.2702149612041	3.59922128963827	9.13099561319331	1.13049455497822	8.90239427410591
ABHD1	1.06844556669609	1.10585124676701	2.6994159672287	1.01455506813259	2.26098910995644	1.61861714074653
ABHD10	466.910712646193	498.738912291921	474.197404909842	514.379419543223	489.504142305568	475.064130809106
ABHD11	118.597457903266	145.972364573245	101.678001432281	98.4118416088612	72.3516515186059	101.163571296658
ABHD11-AS1	0	1.10585124676701	1.79961064481914	2.02911013626518	1.13049455497822	1.61861714074653
ABHD12	514.990763147518	448.975606187405	506.590396516587	437.273234365146	448.806338326352	458.068650831268
ABHD13	294.890976408122	341.708035251006	343.725633160455	326.686731938694	328.973915498661	350.430610971624
ABHD14A	115.392121203178	89.5739509881277	103.4776120771	97.3972865407286	90.4395643982574	116.54043413375
ABHD14B	1337.69384950351	1234.12999139198	1283.12238975604	1362.54745650207	1363.37643330373	1294.08440402685
ABHD15	217.962895606003	218.958546859868	224.051525279982	223.20211498917	224.968416440665	261.406668230564
ABHD16A	413.488434311389	382.624531381385	375.21881944479	389.589146162914	351.583806598226	396.5611994829
ABHD16B	0	1.10585124676701	0.899805322409568	0	0	0
ABHD17A	509.648535314037	500.950614785455	506.590396516587	472.782661749787	422.804963561853	451.594182268282
ABHD17B	148.513933770757	175.830348235954	174.562232547456	158.270590628684	160.530226806907	163.480331215399
ABHD17C	378.229730610417	422.435176264997	435.505776046231	367.268934663997	383.237654137616	376.328485223568
ABHD18	178.430409638248	205.688331898664	227.650746569621	253.638767033147	257.752758535034	246.839113963846
ABHD2	2139.02802452558	2272.5243121062	2196.42479200176	2073.75055926301	2136.63470890883	2041.88552305175
ABHD3	80.1334175022071	93.9973559751957	83.6818949840898	101.455506813259	76.8736297385188	85.786708459566
ABHD4	1833.4525924505	1714.06943248886	1659.24101452324	2019.97914065199	2014.54129697118	2012.75041451831
ABHD5	466.910712646193	539.6554084223	490.393900713215	663.519014558714	602.55359780339	635.307227743013
ABHD6	90.817873169168	80.7271410139916	80.9824790168611	81.1644054506072	73.4821460735841	80.9308570373265
ABHD8	106.844556669609	109.479273429934	99.8783907874621	142.037709538563	98.3530262831049	91.4518684521789
ABI1	1017.16017949468	1021.80655201272	1043.7741739951	956.725429249032	1054.75141979468	1010.82640439621
ABI2	1243.67063963425	1406.64278588763	1404.59610828134	1332.11080445809	1335.11406942928	1277.08892404901
ABI3BP	12345.8885231734	12542.5648408314	12571.1801593841	14418.8566283004	14495.2011839307	15447.2726827145
ABL1	2519.39464626939	2327.81687444455	2406.07943212319	2649.00328289419	2839.80232210528	2705.51855075782
ABL2	715.858529686383	792.895343931945	753.137054856809	668.591789899377	740.473933510733	785.029313262067
ABLIM1	496.827188513684	453.399011174473	540.78299876815	642.213358127929	625.163488902954	552.75775356494
ABLIM2	2.13689113339219	3.31755374030102	0.899805322409568	5.07277534066295	1.13049455497822	1.61861714074653
ABLIM3	658.162469084794	694.474582969681	557.879299893932	772.076406848901	780.04124293497	769.652450424975
ABR	1794.98855204944	1632.2364402281	1658.34120920083	1735.90372157486	1738.7006255565	1699.54799778386
ABRA	0	0	0.899805322409568	1.01455506813259	0	0
ABRACL	193.388647571993	169.195240755352	189.858923028419	177.547136923203	136.789841152364	179.666502622865
ABRAXAS1	507.511644180645	561.77243335764	540.78299876815	639.169692923531	677.166238431952	641.781696305999
ABRAXAS2	424.17288997835	466.669226135677	401.313173794667	476.840882022317	438.631887331548	469.398970816493
ABT1	214.757558905915	260.980894237014	266.342375433232	245.522326488087	210.271987225948	237.127411119367
ABTB1	450.884029145752	452.293159927706	453.501882494422	431.185903956351	452.197821991287	459.687267972014
ABTB2	239.331806939925	242.181423041975	210.554445443839	176.532581855071	209.14149267097	207.182994015556
ACAA1	1105.84116153046	1059.40549440279	1064.46969641052	982.089305952347	977.877790056158	976.026135870157
ACAA2	1283.20312560201	1340.29171108161	1222.8354331546	1343.27091020755	1321.54813476954	1261.71206121192
ACACA	1954.18694148716	2033.66044280453	1915.68553140997	2034.18291160584	2204.46438220752	2092.06265441489
ACACB	292.75408527473	289.733026652956	305.933809619253	376.399930277191	375.324192252768	415.175296601485
ACAD10	435.925791212007	423.541027511764	413.010642985992	438.287789433279	418.282985341941	394.942582342153
ACAD11	45.9431593679321	42.0223473771463	56.6877353118028	51.7423084747621	37.3063203142812	44.5119713705296
ACAD8	278.864292907681	307.426646601228	291.5369244607	310.453850848572	281.493144189576	281.639382489896
ACAD9	745.775005553874	696.686285463215	752.237249534399	585.398274312504	630.815961677846	691.149519098768
ACADL	4.27378226678438	6.63510748060205	8.09824790168611	3.04366520439777	13.5659346597386	9.71170284447918
ACADM	653.88868681801	747.555442814497	704.547567446692	676.708230444437	659.078325552301	659.586484854211
ACADS	130.350359136924	168.089389508585	130.471771749387	136.9649341979	123.223906492626	152.150011230174
ACADSB	427.378226678438	555.137325877038	471.497988942614	526.554080360814	551.68134282937	495.296845068438
ACADVL	6445.93210387754	6057.85312978967	5980.10617273399	5517.15046050502	5658.12524766598	5666.7786097536
ACAN	5651.00860225564	4499.70872309496	5384.43504929886	1288.48493652839	1125.9725767583	1141.93439279668
ACAP1	12.8213468003531	11.0585124676701	14.3968851585531	6.08733040879554	6.78296732986931	8.90239427410591
ACAP2	1260.76576870139	1355.77362853635	1394.69824973483	1674.01586241877	1667.47946859287	1655.03602641333
ACAP3	982.969921360407	931.126749777821	914.202207568121	890.779349820414	895.351687542748	928.276930218134
ACAT1	1066.3086755627	1087.05177557197	1083.36560818112	1113.98146480958	1084.14427822411	1113.60859283361
ACAT2	438.062682345399	451.187308680939	411.211032341173	541.772406382803	473.677218535873	537.380890727848
ACBD3	1652.88529167886	1672.04708511172	1701.53186467649	1611.11344819455	1564.60446408985	1675.26874067266
ACBD3-AS1	3.20533670008828	6.63510748060205	3.59922128963827	0	3.39148366493465	3.23723428149306
ACBD4	216.894450039307	227.805356834004	215.953277378296	200.881903490253	253.230780315121	212.848154008169
ACBD5	370.750611643545	474.410184863046	428.307333466954	489.015542839908	507.59205518522	470.208279386867
ACBD6	527.812109947871	538.549557175533	530.885140221645	628.009587174073	625.163488902954	615.883822054054
ACBD7	19.2320202005297	23.2228761821072	18.8959117706009	20.2911013626518	19.2184074346297	21.0420228297049
ACCS	379.298176177114	390.365490108754	396.81414718262	422.054908343157	417.152490786962	434.598702290443
ACD	272.453619507504	220.064398106635	220.452303990344	197.838238285855	204.619514451057	198.28059974145
ACE	868.646245723925	789.577790191644	871.911357414872	1013.54051306446	979.008284611136	941.225867344107
ACER1	2.13689113339219	1.10585124676701	2.6994159672287	0	1.13049455497822	0.809308570373265
ACER2	16.0266835004414	17.6936199482721	25.1945490274679	20.2911013626518	13.5659346597386	18.6140971185851
ACER3	535.291228914743	567.301689591475	610.967813916097	559.019842541057	540.376397279588	526.050570742622
ACHE	3.20533670008828	2.21170249353402	1.79961064481914	2.02911013626518	2.26098910995644	4.04654285186632
ACIN1	4724.66629593013	4674.43322008414	4565.61220590615	4759.27782460998	4959.47961268944	4879.32137078041
ACKR1	45.9431593679321	45.3399011174473	40.4912395084306	61.887859156088	55.3942331939327	79.3122398965799
ACKR2	23.5058024673141	14.3760662079711	17.0963011257818	22.320211498917	16.9574183246733	16.1861714074653
ACKR3	455.157811412536	371.566018913715	438.20519201346	544.816071587201	522.288484399937	483.157216512839
ACKR4	5.34222783348047	2.21170249353402	6.29863725686698	28.4075419077125	21.4793965445861	22.6606399704514
ACLY	6030.30677843276	5621.0418873167	5569.79494571523	5351.77798439941	5255.66918609373	5464.45146716028
ACMSD	2.13689113339219	0	0	0	0	0
ACO1	1955.25538705385	1993.84979792092	2021.8625594543	2566.82432237545	2548.1347269209	2460.29805393472
ACO2	1922.13357448627	1710.75187874856	1619.64958033722	1553.28380931099	1600.78028984916	1510.16979231651
ACOT1	70.5174074019422	55.2925623383504	57.5875406342124	72.0334098374139	78.004124293497	80.1215484669532
ACOT11	26.7111391674024	25.4345786756412	23.3949383826488	14.2037709538563	22.6098910995644	15.376862837092
ACOT12	0	1.10585124676701	4.49902661204784	0	2.26098910995644	0.809308570373265
ACOT13	299.164758674906	331.755374030102	335.627385258769	358.137939050804	395.673094242376	324.532736719679
ACOT2	208.346885505738	192.418116937459	215.053472055887	215.085674444109	201.228030786123	205.564376874809
ACOT4	11.752901233657	13.2702149612041	9.89785854650525	15.2183260219888	10.174450994804	5.66515999261285
ACOT7	801.334175022071	723.226715385623	772.032966627409	613.805816220217	508.722549740198	604.553502068829
ACOT8	192.320202005297	149.289918313546	188.0593123836	176.532581855071	168.443688691754	157.005862652413
ACOT9	632.519775484088	634.758615644263	670.354965195128	647.286133468592	679.427227541909	668.488879128317
ACOX1	880.399146957582	893.527807387743	917.801428857759	981.074750884214	910.048116757465	955.793421610825
ACOX2	352.587037009711	333.967076523636	345.525243805274	352.050608642009	341.409355603422	301.062788178854
ACOX3	315.191442175348	287.521324159422	281.639065914195	312.482960984838	280.362649634598	299.444171038108
ACOXL-AS1	1.06844556669609	1.10585124676701	4.49902661204784	2.02911013626518	5.65247277489109	3.23723428149306
ACP1	1109.04649823055	1184.36668528747	1206.63893735123	1187.02942971513	1157.62642429769	1117.65513568548
ACP2	613.287755283558	604.900631981553	577.675016986943	514.379419543223	556.203321049283	483.966525083212
ACP4	1.06844556669609	0	0	0	0	0
ACP5	2.13689113339219	1.10585124676701	0.899805322409568	0	0	2.42792571111979
ACP6	121.802794603355	132.702149612041	114.275275946015	134.935824061634	156.008248586994	144.056925526441
ACPP	1.06844556669609	1.10585124676701	0	0	3.39148366493465	1.61861714074653
ACR	0	0	0	0	0	0.809308570373265
ACRBP	7.47911896687266	12.1643637144371	15.2966904809627	12.1746608175911	4.52197821991287	8.09308570373265
ACRV1	0	2.21170249353402	0	0	0	0.809308570373265
ACSBG2	0	0	2.6994159672287	1.01455506813259	1.13049455497822	0
ACSF2	250.016262606886	217.852695613101	197.057365607695	214.071119375976	210.271987225948	219.322622571155
ACSF3	277.795847340985	253.239935509645	248.346268985041	262.769762646341	258.883253090012	274.355605356537
ACSL1	922.06852405873	958.773030946996	995.184686584982	1198.18953546459	1176.84483173232	1110.37135855212
ACSL3	2168.94450039307	2419.60252792621	2327.79636907355	2422.75750270062	2409.08389665858	2402.83714543822
ACSL4	1605.87368674423	1747.24496989187	1726.72641370396	1678.0740826913	1772.61546220585	1698.73868921348
ACSL5	29.9164758674906	25.4345786756412	30.5933809619253	34.494872316508	44.0892876441505	35.6095770964236
ACSL6	0	0	0.899805322409568	3.04366520439777	0	3.23723428149306
ACSM1	0	1.10585124676701	0	0	0	0
ACSM3	6.41067340017657	12.1643637144371	12.597274513734	23.3347665670496	28.2623638744554	17.8047885482118
ACSM6	1.06844556669609	0	0	0	0	0.809308570373265
ACSS1	600.466408483205	523.067639720795	590.272291500677	603.660265538891	558.46431015924	562.469456409419
ACSS2	769.280808021188	735.39107910006	705.447372769101	749.756195349984	772.127781050123	750.229044736016
ACSS3	564.139259215538	603.794780734786	566.877353118028	682.795560853233	659.078325552301	630.451376320773
ACTA1	1.06844556669609	0	0.899805322409568	0	2.26098910995644	0
ACTA2	4036.58735097784	3806.33999137204	4326.2639901452	2626.68307139527	2672.48912796851	2707.13716789857
ACTA2-AS1	9.61601010026485	15.4819174547381	27.8939649946966	2.02911013626518	9.04395643982574	7.28377713335938
ACTB	85899.8182256659	79400.1195178712	80918.5928389701	58857.3831675759	58291.6907383418	61684.6899252799
ACTC1	323.739006708917	315.167605328597	331.128358646721	123.775718312176	107.396982722931	109.256657000391
ACTG1	72171.3611391878	68014.2750811581	69157.2374697546	53404.1496763632	53272.2949142385	54134.6502722677
ACTG1P17	1.06844556669609	11.0585124676701	6.29863725686698	8.11644054506072	9.04395643982574	7.28377713335938
ACTG1P20	19.2320202005297	27.6462811691752	29.6935756395157	42.6113128615688	36.175825759303	29.1351085334375
ACTG1P4	6.41067340017657	2.21170249353402	2.6994159672287	2.02911013626518	10.174450994804	4.85585142223959
ACTG2	80.1334175022071	77.4095872736906	81.8822843392707	41.5967577934362	65.5686841887366	42.0840456594098
ACTL10	12.8213468003531	8.84680997413606	11.6974691913244	14.2037709538563	16.9574183246733	8.90239427410591
ACTL6A	543.838793448312	617.064995695991	556.079689249113	521.481305020151	457.850294766178	547.9019021427
ACTL8	0	0	0.899805322409568	2.02911013626518	0	0
ACTN1	11719.7794210895	10534.3389767025	10873.2475159972	7541.18782142954	7582.22698023891	7639.06359575324
ACTN1-AS1	2.13689113339219	1.10585124676701	1.79961064481914	0	1.13049455497822	0.809308570373265
ACTN2	0	0	0	0	2.26098910995644	0.809308570373265
ACTN3	2.13689113339219	6.63510748060205	5.39883193445741	4.05822027253036	4.52197821991287	3.23723428149306
